Date,Open,High,Low,Close,Volume
2005-10-17,10.5392,10.6117,10.3578,10.521,218029
2005-10-18,10.5392,10.5392,10.3759,10.4666,74667
2005-10-19,10.5755,10.5755,10.4122,10.521,255338
2005-10-20,10.5573,10.648,10.5573,10.5755,306242
2005-10-21,10.6299,10.6299,10.4122,10.4485,245699
2005-10-24,10.4485,10.5392,10.1855,10.2035,325421
2005-10-25,10.2398,10.4485,10.1855,10.3033,163429
2005-10-26,10.3033,10.3215,10.0948,10.1855,533890
2005-10-27,9.8408,10.1855,9.8408,10.1855,194794
2005-10-28,10.0766,10.0948,9.9315,10.0041,646180
2005-10-31,10.1129,10.1855,10.0041,10.0766,141492
2005-11-02,10.1855,10.2943,9.9678,10.1855,454000
2005-11-03,10.1855,10.2762,10.0948,10.2762,1181290
2005-11-04,10.258,10.3578,10.1129,10.3578,224360
2005-11-07,10.3578,10.4122,10.2035,10.3578,119510
2005-11-08,10.258,10.4485,10.258,10.4485,41886
2005-11-09,10.4666,10.6299,10.4303,10.6299,103624
2005-11-10,10.6299,10.6842,10.5573,10.648,290570
2005-11-14,10.7206,10.8113,10.648,10.8113,358839
2005-11-15,10.8113,10.8838,10.7568,10.8475,242985
2005-11-16,10.8294,11.1831,10.8294,11.165,576562
2005-11-17,11.31,11.8634,11.31,11.5187,1304859
2005-11-18,11.7001,12.1083,11.7001,12.0629,2702691
2005-11-21,12.0629,12.1445,11.8452,12.0629,251544
2005-11-22,12.0629,12.0629,11.7001,11.7545,232797
2005-11-23,11.7726,11.9359,11.7182,11.8996,355094
2005-11-24,11.8996,12.1445,11.8452,12.1445,803683
2005-11-25,12.2715,12.2715,12.1445,12.2534,216826
2005-11-28,12.3804,12.6162,12.1445,12.1445,539991
2005-11-29,12.1445,12.5798,12.0629,12.5798,441953
2005-11-30,12.598,12.6797,12.4348,12.6797,303551
2005-12-01,12.6978,12.8248,12.6797,12.6797,547380
2005-12-02,12.7704,12.9337,12.7523,12.8973,488868
2005-12-05,13.115,13.4506,13.115,13.3055,978161
2005-12-06,13.3417,13.3781,12.9155,12.9518,954954
2005-12-07,13.0243,13.1332,13.0243,13.0788,725779
2005-12-08,13.0424,13.2057,13.0424,13.1876,948243
2005-12-09,13.2057,13.2057,13.0788,13.115,1792385
2005-12-12,13.115,13.5776,13.115,13.3781,422171
2005-12-13,13.4869,13.5232,13.3599,13.5232,500248
2005-12-14,13.6138,14.1671,13.6138,14.0221,1280555
2005-12-15,14.2396,14.6479,13.759,13.759,907278
2005-12-16,13.8315,14.1127,13.7227,13.895,911572
2005-12-19,14.04,14.2578,13.9495,14.0582,400447
2005-12-20,14.1127,14.3848,14.04,14.276,767694
2005-12-21,14.3304,14.3486,14.0039,14.0221,427931
2005-12-22,14.0221,14.0764,13.6864,13.7952,472361
2005-12-23,13.895,14.2035,13.759,14.0764,844136
2005-12-27,14.2035,14.2578,13.9676,14.149,176142
2005-12-28,14.276,14.3122,14.0221,14.294,430513
2005-12-29,14.294,14.4483,14.2578,14.4029,203346
2005-12-30,14.4029,14.4301,13.8134,13.9313,389984
2006-01-02,13.9131,14.294,13.4869,14.0764,189588
2006-01-03,14.2578,14.2578,14.0946,14.1127,311388
2006-01-04,14.2215,14.4665,14.149,14.4665,763077
2006-01-05,14.5934,14.92,14.4665,14.92,535519
2006-01-06,15.0106,16.0627,14.92,16.0083,609572
2006-01-09,16.1716,17.7769,15.2737,15.3825,1090384
2006-01-10,15.4188,15.6092,14.9744,15.0106,795504
2006-01-11,15.2555,15.9356,15.2555,15.8632,1007561
2006-01-12,16.2895,16.2895,15.5458,15.6999,546189
2006-01-13,15.6092,15.6092,15.2011,15.2011,725264
2006-01-16,15.2011,15.2555,15.0106,15.2011,608294
2006-01-17,15.3643,15.4913,15.0923,15.2737,507027
2006-01-18,15.0106,15.0379,14.7748,14.92,354304
2006-01-19,15.0106,15.4731,15.0106,15.1829,367858
2006-01-20,15.328,15.328,15.0379,15.0923,725779
2006-01-23,14.666,15.3098,14.6479,15.1829,264569
2006-01-24,15.1829,15.328,14.6479,15.0197,307599
2006-01-25,15.0559,15.1829,14.8293,15.1285,487496
2006-01-26,15.1829,15.3098,15.0106,15.2737,141783
2006-01-27,15.2373,15.2555,14.9744,15.1829,504451
2006-01-30,15.0197,15.1466,14.92,14.9925,397380
2006-01-31,15.0197,15.1285,14.4665,14.4845,384740
2006-02-01,14.2035,15.0106,13.759,15.0106,476677
2006-02-02,15.0923,15.1648,14.7022,14.9744,182114
2006-02-03,15.0106,15.328,15.0106,15.328,478019
2006-02-06,15.328,16.0627,15.2918,16.0627,487199
2006-02-07,16.0809,16.1352,15.3825,16.1352,869930
2006-02-08,16.0809,16.0809,15.7543,16.0809,155884
2006-02-09,16.0809,17.006,16.0809,16.7883,965881
2006-02-10,16.879,17.3687,16.6704,16.9335,517544
2006-02-13,16.8245,17.7769,16.7429,17.0604,292714
2006-02-14,17.668,17.9584,17.5048,17.6862,351003
2006-02-15,17.7769,17.8676,17.0604,17.396,318451
2006-02-16,17.4141,17.5955,16.2531,16.2531,368731
2006-02-17,16.7792,17.1511,16.5253,16.8609,434655
2006-02-20,17.1511,17.4685,16.2531,16.3439,905274
2006-02-21,16.4709,16.6886,16.3439,16.3439,589111
2006-02-22,16.3983,16.5796,16.3439,16.4346,725056
2006-02-23,16.4346,16.616,16.2895,16.362,475014
2006-02-24,16.4164,16.6886,16.4164,16.616,633182
2006-02-27,16.7883,16.9153,16.4527,16.616,777020
2006-02-28,16.5434,16.6886,15.8995,16.6886,1121205
2006-03-01,16.616,16.616,16.0627,16.0627,749736
2006-03-02,16.0809,16.1896,15.7181,16.0809,459627
2006-03-03,16.0809,16.0809,15.6637,15.8087,498764
2006-03-06,15.8995,16.5253,15.8995,16.5253,543406
2006-03-07,16.5253,16.5253,16.0446,16.4164,466187
2006-03-08,16.3077,16.4346,16.0809,16.2169,516436
2006-03-09,16.2169,16.3257,16.0809,16.1896,308056
2006-03-10,16.1896,16.1896,15.3643,15.7181,1230260
2006-03-13,15.5638,15.8269,15.5458,15.6273,772105
2006-03-14,15.6092,15.6092,15.1104,15.3643,670295
2006-03-15,15.5276,15.6999,15.4913,15.5458,461271
2006-03-16,15.6999,16.1534,15.6273,16.0264,415433
2006-03-17,16.1896,16.5434,16.0809,16.0809,771948
2006-03-20,16.1896,16.3983,15.8087,16.0809,247215
2006-03-21,16.0809,16.1896,15.8995,15.8995,219054
2006-03-22,15.7181,16.0809,15.7181,16.0627,207389
2006-03-23,16.0809,16.1716,15.9356,15.9538,69556
2006-03-24,16.0809,16.235,15.8087,16.0809,560350
2006-03-27,16.1171,16.489,16.1171,16.2169,372890
2006-03-28,16.2169,16.235,15.8269,16.0083,268912
2006-03-29,15.8087,16.0083,15.6092,15.9538,412751
2006-03-30,16.1171,16.1171,15.9538,16.1171,942627
2006-03-31,16.1171,16.1171,15.7181,15.7543,107760
2006-04-03,15.8087,16.1352,15.7724,16.1171,204600
2006-04-04,16.2531,16.6886,16.2169,16.6704,658461
2006-04-05,16.7248,17.133,16.7067,16.7067,584874
2006-04-06,16.7248,17.133,16.6341,17.133,1221727
2006-04-07,17.1511,17.3325,17.0967,17.26,571295
2006-04-10,17.2781,17.4504,17.006,17.1511,286909
2006-04-11,16.6341,17.1511,16.1171,17.1511,165786
2006-04-12,16.9697,17.1692,16.7883,17.0604,167576
2006-04-13,17.1692,17.2418,16.761,16.879,127542
2006-04-18,16.879,16.879,16.5071,16.5796,296789
2006-04-19,16.7792,16.7792,16.099,16.235,494056
2006-04-20,16.2531,16.362,15.8995,16.1171,2830851
2006-04-21,16.1534,16.5796,16.1171,16.3801,1192323
2006-04-24,16.5071,16.7883,16.2895,16.7429,905588
2006-04-25,16.7429,16.7883,16.6522,16.7883,295888
2006-04-26,16.7883,17.1511,16.7883,17.1511,302863
2006-04-27,17.1692,17.4322,16.9697,17.2781,1419512
2006-04-28,17.3325,17.3506,17.006,17.1511,227787
2006-05-02,16.7883,17.0604,16.7883,16.9697,362796
2006-05-04,16.9697,16.9697,16.4527,16.7067,904468
2006-05-05,16.7067,16.9335,16.5071,16.5978,723718
2006-05-08,16.616,16.6704,16.5253,16.5796,515759
2006-05-09,16.5796,17.2962,16.4709,16.9153,523596
2006-05-10,17.0967,17.2781,16.9697,17.1511,268140
